Name;URL
Студио21 (хип хоп) Казань ;https://hls.studio21.ru/studio21/playlist.m3u8
Наше радио (96.8) Казань;https://nashe1.hostingradio.ru:80/nashe-128.mp3
Радио Рекорд Казань;https://hls-01-radiorecord.hostingradio.ru/record/112/playlist.m3u8
Авторадио Казань;https://srv21.gpmradio.ru:8443/stream/air/aac/64/100
Релакс ФМ Казань;https://srv02.gpmradio.ru:8443/stream/reg/mp3/128/region_relax_9
Милицейская волна;https://radiomv.hostingradio.ru:80/radiomv128.mp3
Европа Плюс;https://hls-01-regions.emgsound.ru/11_kazan/playlist.m3u8
D FM;https://dfm.hostingradio.ru/dfm96.aacp
Радио Шансон (89.7) Казань  ;https://online2.gkvr.ru:8001/chanson_kaz_64.aac
Радио Гордость (97.2) Казань ;https://rgordost.hostingradio.ru/rgordost128.aacp
Радио Love (107.8) Казань ;https://stream2.n340.com/12_love_64_reg_44?type=aac&UID=8EE86F9F7653C544191435A1D5C33263
Пиратская Станция (радио Рекорд);https://radiorecord.hostingradio.ru/ps96.aacp
Чилаут (Wow Music);http://stream.vyshka24.ru/wowchillout
Onda Cero Madrid live;https://atres-live.ondacero.es/live/ondacero/bitrate_1.m3u8
Canal Fiesta Radio live;https://cdnlive.codev8.net/rtvalive/smil:channel5.smil/playlist.m3u8
FOX News Talk Radio;https://prod-3-86-26-249.amperwave.net/foxnewsradio-foxnewsradioaac-imc?session-id=e0486bf0236665ea2c3333451e21cf57
Bloomberg Radio;https://18863.live.streamtheworld.com/WBBRAMAAC.aac?dist=onlineradiobox
LBC Radio UK;https://media-ssl.musicradio.com/LBCLondon
TalkRADIO Radio UK;https://radio.talkradio.co.uk/stream
Times Radio UK;https://timesradio.wireless.radio/stream
BBC Radio 2;https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio=96000-270183254.ts
BBC World Service;https://stream.live.vc.bbcmedia.co.uk/bbc_world_service
